cityDep,CountryDep,cityDest,countryDest,IATA,depIATA,priceFrom,date,depDay,depMonth,retDay,retMonth,tripUrl
Amsterdam,Netherlands,Oslo,Norway,OSL,AMS,217,Nov 26 - Nov 28,26,11,28,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Dosl%26ddate%3D2025-11-26%26rdate%3D2025-11-28%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Munich,Germany,MUC,AMS,223,Nov 21 - Nov 23,21,11,23,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Dmuc%26ddate%3D2025-11-21%26rdate%3D2025-11-23%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Valencia,Spain,,AMS,226,Nov 27 - Nov 30,27,11,30,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3D%26ddate%3D2025-11-27%26rdate%3D2025-11-30%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Istanbul,Turkey,IST,AMS,244,Nov 21 - Nov 24,21,11,24,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Dist%26ddate%3D2025-11-21%26rdate%3D2025-11-24%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Glasgow,United Kingdom,GLA,AMS,252,Nov 23 - Nov 30,23,11,30,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Dgla%26ddate%3D2025-11-23%26rdate%3D2025-11-30%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Prague,Czech Republic,PRG,AMS,255,Nov 22 - Nov 24,22,11,24,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Dprg%26ddate%3D2025-11-22%26rdate%3D2025-11-24%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Porto,Portugal,OPO,AMS,264,Nov 27 - Nov 30,27,11,30,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Dopo%26ddate%3D2025-11-27%26rdate%3D2025-11-30%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Warsaw,Poland,WAW,AMS,267,Nov 28 - Nov 30,28,11,30,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Dwaw%26ddate%3D2025-11-28%26rdate%3D2025-11-30%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Marseille,France,MRS,AMS,268,Nov 24 - Nov 25,24,11,25,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Dmrs%26ddate%3D2025-11-24%26rdate%3D2025-11-25%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Nice,France,NCE,AMS,268,Nov 24 - Nov 28,24,11,28,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Dnce%26ddate%3D2025-11-24%26rdate%3D2025-11-28%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
